"","review_id","source_id","review_source","score","location"
"331","R_1279","C_339","Sev_pchela","pos; отмечено, что было распродано 6т экз","1840. № 23. С. 91"
"332","R_1280","C_339","BdCH","pos","1840. Т. 38. С. 1-5"
"333","R_1282","C_340","OZ","neg","1840. Т. 13. Отд. 6. С. 28"
"334","R_1304","C_342","BdCH","","1835. Т. 10. С. 8-9"
"335","R_1310","C_343","JMNP","neg","1838. Ч. 20. № 12. С. 589"
"336","R_1312","C_343","BdCH","neg","1837. Т. 20. С. 37-38"
"337","R_1318","C_344","JMNP","pos","1839. Ч. 23. Отд. VI. С. 118"
"338","R_1319","C_344","Sev_pchela","pos","1837. № 214. 24 сент. С. 853-854 -- П.М."
"339","R_1320","C_344","BdCH","pos","1837. Т. 25. С. 48"
"340","R_1327","C_345","Sev_pchela","???; не говорится о стихах","1838. № 44. 22 фев. С. 167"
"341","R_1328","C_345","BdCH","neg","1838. Т. 28. С. 21-22"
"342","R_1336","C_348","BdCH","neg; указание на плагиат/перепечатки и небрежность изд.","1838. Т. 29. С. 23-24"
"343","R_1337","C_346","Sovr","neg","1838. Т. 11. С. 61-62"
"344","R_1344","C_346","BdCH","neg","1838. Т. 29. С. 27-28"
"345","R_1363","C_351","CO","pos","1839. Т. 10. Отд. 4. С. 145-147"
"346","R_1369","C_352","Sovr","pos","1840. Т. 19. С. 143-144"
"347","R_1370","C_352","OZ","pos","1840. Т. 10. Отд. 6. С. 8-9"
"348","R_1371","C_352","CO","neg","1840. Т. 2. Кн. 4. С. 833-836"
