,word_from,lemma,pos
1315,возмечтает,возмечтать,"V,сов,нп=непрош,ед,изъяв,3-л"
1316,богини,богиня,"S,жен,од=(род,ед|им,мн)"
1317,Киприды,киприд,"S,муж,од=им,мн"
1318,любовью,любовь,"S,жен,неод=твор,ед"
1319,Венера,венера,"S,имя,жен,од=им,ед"
1320,стыдилась,стыдиться,"V,несов,нп=прош,ед,изъяв,жен"
1321,оный,оный,"APRO=(вин,ед,муж,неод|им,ед,муж)"
1322,Небожитель,небожитель,"S,муж,од=им,ед"
1323,усмешкой,усмешка,"S,жен,неод=твор,ед"
1324,напомнит,напоминать,"V,пе=непрош,ед,изъяв,3-л,сов"
1325,Киприда,киприд,"S,фам,муж,од=(вин,ед|род,ед)"
1326,Противустану,противустан,"S,муж,неод=дат,ед"
1327,ужасным,ужасный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1328,прославлюсь,прославляться,"V,нп=непрош,ед,изъяв,1-л,сов"
1329,сраженьи,сражение,"S,сред,неод=пр,ед"
1330,Венеру,венера,"S,имя,жен,од=вин,ед"
1331,Адониса,адонис,"S,муж,неод=род,ед"
1332,храбрость,храбрость,"S,жен,неод=(вин,ед|им,ед)"
1333,преобращает,преобращать,"V,пе=непрош,ед,изъяв,3-л,несов"
1334,облобызавши,облобызать,"V,сов,пе=прош,деепр"
1335,тулом,тул,"S,муж,неод=твор,ед"
1336,беседке,беседка,"S,жен,неод=(пр,ед|дат,ед)"
1337,троном,трон,"S,муж,неод=твор,ед"
1338,вернейший,верный,"A=(вин,ед,полн,прев,муж,неод|им,ед,полн,прев,муж)"
1339,полным,полный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1340,ловчих,ловчий,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1341,дротик,дротик,"S,муж,неод=(вин,ед|им,ед)"
1342,воруженный,воруженный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1343,свирепых,свирепый,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1344,Мелеагер,мелеагер,"S,фам,муж,од=им,ед"
1345,дубравных,дубравный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1346,Калидоны,калидон,"S,муж,неод=(вин,мн|им,мн)"
1347,владельцу,владелец,"S,муж,од=дат,ед"
1348,вещает,вещать,"V,несов,пе=непрош,ед,изъяв,3-л"
1349,славу,слава,"S,жен,неод=вин,ед"
1350,Адонису,адонис,"S,муж,неод=дат,ед"
1351,дубраву,дубрава,"S,жен,неод=вин,ед"
1352,минует,миновать,"V,пе=(непрош,ед,изъяв,3-л,несов|непрош,ед,изъяв,3-л,сов)"
1353,невинных,невинный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1354,кровожадных,кровожадный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1355,истребляет,истреблять,"V,пе=непрош,ед,изъяв,3-л,несов"
1356,неослабной,неослабный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1357,хоры,хор,"S,муж,неод=(вин,мн|им,мн)"
1358,храме,храм,"S,муж,неод=пр,ед"
1359,воспевают,воспевать,"V,пе=непрош,мн,изъяв,3-л,несов"
1360,пены,пена,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1361,моря,море,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1362,Цитерея,цитерея,"S,ед,жен,неод=им"
1363,остров,остров,"S,муж,неод=(вин,ед|им,ед)"
1364,имя,имя,"S,сред,неод=(вин,ед|им,ед)"
1365,начале,начало,"S,сред,неод=пр,ед"
1366,возвышался,возвышаться,"V,нп=прош,ед,изъяв,муж,несов"
1367,камень,камень,"S,муж,неод=(вин,ед|им,ед)"
1368,подземных,подземный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1369,земнородных,земнородный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1370,живущих,жить,"V,несов,нп=(непрош,пр,мн,прич,полн,действ|непрош,род,мн,прич,полн,действ|непрош,вин,мн,прич,полн,действ,од)"
1371,взоры,взор,"S,муж,неод=(вин,мн|им,мн)"
1372,подходящей,подходящий,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен|срав)"
1373,голый,голый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1374,муравою,мурава,"S,ед,жен,неод=твор"
1375,златоплодпой,златоплодпевать,"V,пе=ед,пов,2-л,сов"
1376,пенью,пение,"S,сред,неод=дат,ед"
1377,фимиама,фимиам,"S,муж,неод=род,ед"
1378,драгоценным,драгоценный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1379,несметной,несметный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1380,приносящих,приносить,"V=(непрош,пр,мн,прич,полн,несов,действ,пе|непрош,род,мн,прич,полн,несов,действ,пе|непрош,вин,мн,прич,полн,несов,действ,од,пе)"
1381,грусти,грусть,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1382,Кипрпда,кипрпда,"ADV,вводн="
1383,вещает,вещать,"V,несов,пе=непрош,ед,изъяв,3-л"
1384,завидной,завидный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1385,свободе,свобода,"S,жен,неод=(пр,ед|дат,ед)"
1386,жертва,жертва,"S,жен,од=им,ед"
1387,величья,величие,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1388,крушуся,крушуся,"S,имя,жен,од=им,ед"
1389,народов,народ,"S,муж,неод=род,мн"
1390,прахе,прах,"S,муж,неод=пр,ед"
1391,заменяет,заменять,"V,пе=непрош,ед,изъяв,3-л,несов"
1392,вкушала,вкушать,"V=прош,ед,изъяв,жен,несов,пе"
1393,уединеньи,уединение,"S,сред,неод=пр,ед"
1394,будет,быть,"V,нп=непрош,ед,изъяв,3-л"
1395,ныне,ныне,ADV=
1396,восторгом,восторг,"S,муж,неод=твор,ед"
1397,любовью,любовь,"S,жен,неод=твор,ед"
1398,случиться,случаться,"V,нп=инф,сов"
1399,дубравы,дубрава,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1400,Дианой,диана,"S,имя,жен,од=твор,ед"
1401,охотник,охотник,"S,муж,од=им,ед"
1402,ростом,рост,"S,муж,неод=твор,ед"
1403,величавой,величавый,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1404,ослепленный,ослеплять,"V,пе=(прош,вин,ед,прич,полн,муж,сов,страд,неод|прош,им,ед,прич,полн,муж,сов,страд)"
1405,мгновенье,мгновение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
1406,предпочтенье,предпочтение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
1407,видя,видеть,"V,несов,пе=непрош,деепр"
1408,Латоны,латон,"S,гео,муж,неод=(вин,мн|им,мн)"
1409,приметить,примечать,"V,пе=инф,сов"
1410,откровенных,откровенный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1411,сердца,сердце,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1412,стараться,стараться,"V,несов,нп=инф"
1413,чрезмерной,чрезмерный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1414,хвалою,хвала,"S,жен,неод=твор,ед"
1415,спутниц,спутница,"S,жен,од=(вин,мн|род,мн)"
1416,обеим,оба,"NUM=дат,жен"
1417,обезславя,обезславить,"V,несов,пе=непрош,деепр"
1418,прельщает,прельщать,"V=непрош,ед,изъяв,3-л,несов,пе"
1419,горе,горе,"S,ед,сред,неод=(пр|вин|им)"
1420,заблуждаюсь,заблуждаться,"V,несов,нп=непрош,ед,изъяв,1-л"
1421,причину,причина,"S,жен,неод=вин,ед"
1422,подозренью,подозрение,"S,сред,неод=дат,ед"
1423,душою,душа,"S,жен,неод=твор,ед"
1424,милый,милый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1425,досада,досада,"S,жен,неод=им,ед"
1426,обидных,обидный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1427,подозрений,подозрение,"S,сред,неод=род,мн"
1428,Роза,роза,"S,имя,жен,од=им,ед"
1429,которой,который,"APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен)"
1430,раченьем,рачение,"S,сред,неод=твор,ед"
1431,украсил,украшать,"V=прош,ед,изъяв,муж,сов"
1432,дщерей,дщерь,"S,жен,од=(вин,мн|род,мн)"
1433,кудри,кудри,"S,мн,неод=(вин|им)"
1434,невредимы,невредимый,"A=мн,кр"
1435,друга,друг,"S,муж,од=(вин,ед|род,ед)"
1436,отторглась,отторгаться,"V,нп=прош,ед,изъяв,жен,сов"
1437,злополучьем,злополучие,"S,сред,неод=твор,ед"
1438,предвестье,предвестие,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
1439,ненавистны,ненавистный,"A=мн,кр"
1440,обряды,обряд,"S,муж,неод=(вин,мн|им,мн)"
1441,скорее,скоро,ADV=срав
1442,песни,песня,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1443,мною,я,"SPRO,ед,1-л=твор"
1444,борепьи,борепей,"S,муж,неод=(вин,мн|им,мн)"
1445,смертью,смерть,"S,жен,неод=твор,ед"
1446,солнца,солнце,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1447,стремились,стремиться,"V,несов,нп=прош,мн,изъяв"
1448,быстрее,быстро,ADV=срав
1449,приморью,приморье,"S,сред,неод=дат,ед"
1450,беседке,беседка,"S,жен,неод=(пр,ед|дат,ед)"
1451,юный,юный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1452,гордяся,гордяся,"S,имя,жен,од=им,ед"
1453,волками,волк,"S,муж,од=твор,мн"
1454,кустами,куст,"S,муж,неод=твор,мн"
1455,несется,нестись,"V,несов,нп=непрош,ед,изъяв,3-л"
1456,собою,себя,SPRO=твор
1457,бесстрашно,бесстрашно,ADV=
1458,сраженью,сражение,"S,сред,неод=дат,ед"
1459,стрелою,стрела,"S,жен,неод=твор,ед"
1460,противник,противник,"S,муж,од=им,ед"
1461,жизни,жизнь,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1462,паденьем,падение,"S,сред,неод=твор,ед"
1463,разъяренна,разъяренный,"A=ед,кр,жен"
1464,попирая,попирать,"V=непрош,деепр,несов,пе"
1465,заграждает,заграждать,"V=непрош,ед,изъяв,3-л,несов,пе"
1466,убийце,убийца,"S,мж,од=(пр,ед|дат,ед)"
1467,страхом,страх,"S,муж,неод=твор,ед"
1468,взорам,взор,"S,муж,неод=дат,мн"
1469,знаменитой,знаменитый,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1470,веприце,веприц,"S,муж,неод=пр,ед"
1471,окрестность,окрестность,"S,жен,неод=(вин,ед|им,ед)"
1472,Калидоны,калидон,"S,муж,неод=(вин,мн|им,мн)"
1473,наполняла,наполнять,"V,пе=прош,ед,изъяв,жен,несов"
1474,Мелеагра,мелеагр,"S,муж,од=(вин,ед|род,ед)"
1475,Адонис,адонис,"S,муж,неод=(вин,ед|им,ед)"
1476,собою,себя,SPRO=твор
1477,зверя,зверь,"S,муж,од=(вин,ед|род,ед)"
1478,мужаясь,мужаться,"V,несов,нп=непрош,деепр"
1479,заостренной,заострять,"V,пе=(прош,пр,ед,прич,полн,жен,сов,страд|прош,дат,ед,прич,полн,жен,сов,страд|прош,род,ед,прич,полн,жен,сов,страд|прош,твор,ед,прич,полн,жен,сов,страд)"
1480,ранит,ранить,"V,пе=(непрош,ед,изъяв,3-л,несов|непрош,ед,изъяв,3-л,сов)"
1481,ярость,ярость,"S,жен,неод=(вин,ед|им,ед)"
1482,уязвленной,уязвлять,"V,пе=(прош,пр,ед,прич,полн,жен,сов,страд|прош,дат,ед,прич,полн,жен,сов,страд|прош,род,ед,прич,полн,жен,сов,страд|прош,твор,ед,прич,полн,жен,сов,страд)"
1483,очами,око,"S,сред,неод=твор,мн"
1484,ударяя,ударять,"V,пе=непрош,деепр,несов"
1485,пену,пена,"S,жен,неод=вин,ед"
1486,стремится,стремиться,"V,несов,нп=непрош,ед,изъяв,3-л"
1487,вправо,вправо,ADV=
1488,нападенья,нападение,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1489,быстро,быстро,ADV=
1490,пронзает,пронзать,"V=непрош,ед,изъяв,3-л,несов,пе"
1491,ручьями,ручей,"S,муж,неод=твор,мн"
1492,зверя,зверь,"S,муж,од=(вин,ед|род,ед)"
1493,победе,победа,"S,жен,неод=(пр,ед|дат,ед)"
1494,совершенной,совершенный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1495,ранен,ранить,"V,пе=прош,ед,прич,кр,муж,сов,страд"
1496,внезапным,внезапный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1497,веприцы,веприц,"S,муж,неод=(вин,мн|им,мн)"
1498,рану,рана,"S,жен,неод=вин,ед"
1499,гневом,гнев,"S,муж,неод=твор,ед"
1500,живая,живой,"A=им,ед,полн,жен"
1501,рукою,рука,"S,жен,неод=твор,ед"
1502,вонзая,вонзать,"V=непрош,деепр,несов,пе"
1503,жизни,жизнь,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1504,паденьи,падение,"S,сред,неод=пр,ед"
1505,страшной,страшный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1506,победой,победа,"S,жен,неод=твор,ед"
1507,уязвленный,уязвлять,"V,пе=(прош,вин,ед,прич,полн,муж,сов,страд,неод|прош,им,ед,прич,полн,муж,сов,страд)"
1508,очами,око,"S,сред,неод=твор,мн"
1509,добычу,добыча,"S,жен,неод=вин,ед"
1510,наслажденье,наслаждение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
1511,было,быть,"V,нп=прош,ед,изъяв,сред,несов"
1512,милой,милая,"S,жен,од=(пр,ед|дат,ед|род,ед|твор,ед)"
1513,беседки,беседка,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1514,лишенный,лишенный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1515,Венера,венера,"S,имя,жен,од=им,ед"
1516,быстрый,быстрый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1517,мольбою,мольба,"S,жен,неод=твор,ед"
1518,ускоряя,ускорять,"V,пе=непрош,деепр,несов"
1519,беседке,беседка,"S,жен,неод=(пр,ед|дат,ед)"
1520,колеснице,колесница,"S,жен,неод=(пр,ед|дат,ед)"
1521,взоры,взор,"S,муж,неод=(вин,мн|им,мн)"
1522,обращая,обращать,"V,пе=непрош,деепр,несов"
1523,время,время,"S,сред,неод=(вин,ед|им,ед)"
1524,веприцу,веприц,"S,муж,неод=дат,ед"
1525,виде,вид,"S,муж,неод=пр,ед"
1526,ловли,ловля,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1527,колесницы,колесница,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1528,прибегает,прибегать,"V,нп=непрош,ед,изъяв,3-л,несов"
1529,любимцу,любимец,"S,муж,од=дат,ед"
1530,воплем,вопль,"S,муж,неод=твор,ед"
1531,повторяет,повторять,"V,пе=непрош,ед,изъяв,3-л,несов"
1532,имя,имя,"S,сред,неод=(вин,ед|им,ед)"
1533,взоры,взор,"S,муж,неод=(вин,мн|им,мн)"
1534,обращает,обращать,"V,пе=непрош,ед,изъяв,3-л,несов"
1535,Цитерее,цитерея,"S,ед,жен,неод=(пр|дат)"
1536,друга,друг,"S,муж,од=(вин,ед|род,ед)"
1537,Киприда,киприд,"S,фам,муж,од=(вин,ед|род,ед)"
1538,чудотворящий,чудотворить,"V,несов,нп=(непрош,вин,ед,прич,полн,муж,действ,неод|непрош,им,ед,прич,полн,муж,действ)"
1539,обвивает,обвивать,"V=непрош,ед,изъяв,3-л,несов,пе"
1540,чуда,чудо,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1541,дланью,длань,"S,жен,неод=твор,ед"
1542,прелестны,прелестный,"A=мн,кр"
1543,дыханьем,дыхание,"S,сред,неод=твор,ед"
1544,прилагает,прилагать,"V,несов,пе=непрош,ед,изъяв,3-л"
1545,ране,рана,"S,жен,неод=(пр,ед|дат,ед)"
1546,богини,богиня,"S,жен,од=(род,ед|им,мн)"
1547,друга,друг,"S,муж,од=(вин,ед|род,ед)"
1548,силах,сила,"S,жен,неод=пр,мн"
1549,спасеньи,спасение,"S,сред,неод=пр,ед"
1550,смерти,смерть,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1551,сердцем,сердце,"S,сред,неод=твор,ед"
1552,полным,полный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1553,вещает,вещать,"V,несов,пе=непрош,ед,изъяв,3-л"
1554,неумолима,неумолимый,"A=ед,кр,жен"
1555,ясно,ясно,ADV=
1556,определила,определять,"V,пе=прош,ед,изъяв,жен,сов"
1557,Кипридой,киприда,"S,жен,од=твор,ед"
1558,подруге,подруга,"S,жен,од=(пр,ед|дат,ед)"
1559,славы,слава,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1560,жизни,жизнь,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1561,жребьем,жребей,"S,муж,неод=твор,ед"
1562,будет,быть,"V,нп=непрош,ед,изъяв,3-л"
1563,Киприды,киприд,"S,муж,од=им,мн"
1564,будут,быть,"V,нп=непрош,мн,изъяв,3-л"
1565,имя,имя,"S,сред,неод=(вин,ед|им,ед)"
1566,храмах,храм,"S,муж,неод=пр,мн"
1567,поставить,поставлять,"V,пе=инф,сов"
1568,ликом,лик,"S,муж,неод=твор,ед"
1569,изображенье,изображение,"S,сред,неод=(пр,ед|вин,ед|им,ед)"
1570,вселенна,вселенный,"A=ед,кр,жен"
1571,бессмертны,бессмертный,"A=мн,кр"
1572,любила,любить,"V,несов,пе=прош,ед,изъяв,жен"
1573,земного,земной,"A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)"
1574,смертных,смертный,"S,муж,од=(пр,мн|вин,мн|род,мн)"
1575,Киприду,киприйти,"V,сов,нп=непрош,ед,изъяв,1-л"
1576,только,только,PART=
1577,Адониса,адонис,"S,муж,неод=род,ед"
1578,поцелуем,поцелуй,"S,муж,неод=твор,ед"
1579,друга,друг,"S,муж,од=(вин,ед|род,ед)"
1580,душу,душа,"S,жен,неод=вин,ед"
1581,Адониса,адонис,"S,муж,неод=род,ед"
1582,Киприды,киприд,"S,муж,од=им,мн"
1583,оживленной,оживленный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1584,весенних,весенний,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1585,Анемона,анемон,"S,муж,неод=род,ед"
1586,кратковечный,кратковечный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1587,красотою,красота,"S,жен,неод=твор,ед"
1588,_, , 
1589,сыну,сын,"S,муж,од=дат,ед"
1590,воздух,воздух,"S,муж,неод=(вин,ед|им,ед)"
1591,осиянный,осиять,"V,сов,пе=(прош,вин,ед,прич,полн,муж,страд,неод|прош,им,ед,прич,полн,муж,страд)"
1592,ветром,ветер,"S,муж,неод=твор,ед"
1593,забаве,забава,"S,жен,неод=(пр,ед|дат,ед)"
1594,долго,долго,ADV=
1595,печали,печаль,"S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)"
1596,шумящей,шуметь,"V,несов,нп=(непрош,пр,ед,прич,полн,жен,действ|непрош,дат,ед,прич,полн,жен,действ|непрош,род,ед,прич,полн,жен,действ|непрош,твор,ед,прич,полн,жен,действ)"
1597,исчезает,исчезать,"V,нп=непрош,ед,изъяв,3-л,несов"
1598,противна,противный,"A=ед,кр,жен"
1599,будешь,быть,"V,нп=непрош,ед,изъяв,2-л"
1600,желаньям,желание,"S,сред,неод=дат,мн"
1601,долине,долина,"S,жен,неод=(пр,ед|дат,ед)"
1602,призывала,призывать,"V,пе=прош,ед,изъяв,жен,несов"
1603,Диану,диана,"S,имя,жен,од=вин,ед"
1604,богини,богиня,"S,жен,од=(род,ед|им,мн)"
1605,преобращенна,преобращенный,"A=ед,кр,жен"
1606,недра,недра,"S,мн,неод=(вин|им)"
1607,морями,море,"S,сред,неод=твор,мн"
1608,ужасным,ужасный,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1609,собою,себя,SPRO=твор
1610,грохот,грохот,"S,муж,неод=(вин,ед|им,ед)"
1611,бурей,буря,"S,жен,неод=твор,ед"
1612,проникла,проникать,"V,нп=прош,ед,изъяв,жен,сов"
1613,отдаленный,отдаленный,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1614,дотоле,дотоле,ADVPRO=
1615,знала,знать,"V,несов,пе=прош,ед,изъяв,жен"
1616,постигнул,постигнуть,"V,сов,нп=прош,ед,изъяв,муж"
1617,землю,земля,"S,жен,неод=вин,ед"
1618,солнца,солнце,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1619,подземном,подземный,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
1620,защитой,защита,"S,жен,неод=твор,ед"
1621,тобою,ты,"SPRO,ед,2-л=твор"
1622,Плутона,плутон,"S,гео,муж,неод=род,ед"
1623,Диану,диана,"S,имя,жен,од=вин,ед"
1624,станешь,становиться,"V,нп=непрош,ед,изъяв,2-л,сов"
1625,неумолимый,неумолимый,"A=(вин,ед,полн,муж,неод|им,ед,полн,муж)"
1626,державы,держава,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1627,плененный,пленять,"V,пе=(прош,вин,ед,прич,полн,муж,сов,страд,неод|прош,им,ед,прич,полн,муж,сов,страд)"
1628,вздумав,вздумать,"V,сов,нп=прош,деепр"
1629,насильной,насильный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1630,похитит,похищать,"V,пе=непрош,ед,изъяв,3-л,сов"
1631,дланей,длань,"S,жен,неод=род,мн"
1632,Церера,церер,"S,фам,муж,од=(вин,ед|род,ед)"
1633,исторгнуть,исторгать,"V,пе=инф,сов"
1634,Зевеса,зевес,"S,муж,од=(вин,ед|род,ед)"
1635,Прозерпину,прозерпин,"S,муж,неод=дат,ед"
1636,Эннайских,эннайский,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1637,веселых,веселый,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1638,похитил,похищать,"V,пе=прош,ед,изъяв,муж,сов"
1639,колесницу,колесница,"S,жен,неод=вин,ед"
1640,собою,себя,SPRO=твор
1641,конях,конь,"S,муж,од=пр,мн"
1642,Тартар,тартар,"S,муж,неод=(вин,ед|им,ед)"
1643,удивленьем,удивление,"S,сред,неод=твор,ед"
1644,любопытством,любопытство,"S,сред,неод=твор,ед"
1645,желаешь,желать,"V,несов,пе=непрош,ед,изъяв,2-л"
1646,повесть,повесть,"S,жен,неод=(вин,ед|им,ед)"
1647,царица,царица,"S,жен,од=им,ед"
1648,старинном,старинный,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
1649,внимала,внимать,"V,нп=прош,ед,изъяв,жен,несов"
1650,Эннайских,эннайский,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1651,прозябенья,прозябение,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1652,недавним,недавний,"A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)"
1653,Прозерпина,прозерпин,"S,муж,неод=род,ед"
1654,вместе,вместе,ADV=
1655,славной,славный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1656,смиренном,смиренный,"A=(пр,ед,полн,муж|пр,ед,полн,сред)"
1657,поклоненьи,поклонение,"S,сред,неод=пр,ед"
1658,ровесниц,ровесница,"S,жен,од=(вин,мн|род,мн)"
1659,забавлялась,забавляться,"V,несов,нп=прош,ед,изъяв,жен"
1660,Перского,перский,"S,фам,муж,од=(вин,ед|род,ед)"
1661,отменной,отменный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1662,лебединой,лебединый,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1663,начале,начало,"S,сред,неод=пр,ед"
1664,долго,долго,ADV=
1665,неба,небо,"S,сред,неод=(вин,мн|род,ед|им,мн)"
1666,густые,густой,"A=(вин,мн,полн,неод|им,мн,полн)"
1667,серой,серый,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1668,снегом,снег,"S,муж,неод=твор,ед"
1669,подошвы,подошва,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1670,пещеру,пещера,"S,жен,неод=вин,ед"
1671,изливался,изливаться,"V,нп=прош,ед,изъяв,муж,несов"
1672,рекою,река,"S,жен,неод=твор,ед"
1673,рядом,рядом,ADV=
1674,тучи,туча,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1675,напоминает,напоминать,"V,пе=непрош,ед,изъяв,3-л,несов"
1676,воображеньям,воображение,"S,сред,неод=дат,мн"
1677,Химеру,химера,"S,жен,неод=вин,ед"
1678,Гидру,гидра,"S,жен,од=вин,ед"
1679,коих,кой,"APRO=(пр,мн|род,мн|вин,мн,од)"
1680,речисты,речистый,"A=мн,кр"
1681,любопытство,любопытство,"S,сред,неод=(вин,ед|им,ед)"
1682,златого,златой,"A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред)"
1683,тучи,туча,"S,жен,неод=(вин,мн|род,ед|им,мн)"
1684,ветром,ветер,"S,муж,неод=твор,ед"
1685,подобно,подобно,ADV=
1686,плывущим,плыть,"V,несов,нп=(непрош,дат,мн,прич,полн,действ|непрош,твор,ед,прич,полн,муж,действ|непрош,твор,ед,прич,полн,сред,действ)"
1687,поросших,порастать,"V,нп=(прош,пр,мн,прич,полн,сов,действ|прош,род,мн,прич,полн,сов,действ|прош,вин,мн,прич,полн,сов,действ,од)"
1688,тростью,трость,"S,жен,неод=твор,ед"
1689,движеньем,движение,"S,сред,неод=твор,ед"
1690,прелестных,прелестный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1691,степенно,степенно,ADV=
1692,приятно,приятно,ADV=
1693,плавать,плавать,"V,несов,нп=инф"
1694,великолепных,великолепный,"A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)"
1695,вожатым,вожатый,"S,муж,од=(дат,мн|твор,ед)"
1696,стая,стая,"S,жен,неод=им,ед"
1697,повиновеньем,повиновение,"S,сред,неод=твор,ед"
1698,изображая,изображать,"V=непрош,деепр,несов,пе"
1699,блестящей,блестящий,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен|срав)"
1700,новорожденной,новорожденный,"A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)"
1701,хвалою,хвала,"S,жен,неод=твор,ед"
1702,играя,играть,"V,несов,пе=непрош,деепр"
1703,осанкой,осанка,"S,жен,неод=твор,ед"
1704,движений,движение,"S,сред,неод=род,мн"
1705,голос,голос,"S,муж,неод=(вин,ед|им,ед)"
1706,помогите,помогать,"V,нп=мн,пов,2-л,сов"
